,Price,Currency,Brokered_by,AD_Situation,Rooms,Bath,Building space,Measruing unit,Address,City,State
699,245000,USD,Keller Williams Realty Puget Sound,New - 7 hours ago,1,1.0,911,sqft,"3201 Pacific Ave Unit 503, Tacoma, WA 98418",Tacoma, WA 98418
700,799000,USD,RE/MAX Exclusive,New - 7 hours ago,2,2.5,2517,sqft,"1507 Weatherswood Dr NW, Gig Harbor, WA 98335",Gig Harbor, WA 98335
701,489000,USD,Windermere Professional Partners,New - 7 hours ago,4,2.0,2686,sqft,"1519 S Meyers St, Tacoma, WA 98465",Tacoma, WA 98465
702,655000,USD,Coldwell Banker Bain of Tacoma North,New - 7 hours ago,3,2.5,2950,sqft,"3738 N Frace Ave, Tacoma, WA 98407",Tacoma, WA 98407
703,505000,USD,"Windermere Re Puyallup, Inc",New - 7 hours ago,5,2.5,3094,sqft,"3206 28th St SE, Puyallup, WA 98374",Puyallup, WA 98374
704,405000,USD,HomeSmart Real Estate Assoc,New - 7 hours ago,3,2.5,1967,sqft,"1277 Hudson St, DuPont, WA 98327",DuPont, WA 98327
705,960000,USD,"RE/MAX Northwest Realtors - Tacoma, WA",New - 7 hours ago,4,2.5,3476,sqft,"3710 N 35th St, Tacoma, WA 98407",Tacoma, WA 98407
706,279000,USD,Northwest Home Sales,New,3,1.0,1008,sqft,"17305 Spanaway Ln E, Spanaway, WA 98387",Spanaway, WA 98387
707,1225000,USD,Windermere Professional Partners,New - 7 hours ago,3,3.0,2903,sqft,"5011 N Villard St, Ruston, WA 98407",Ruston, WA 98407
708,389950,USD,Crescent Realty,New - 7 hours ago,4,2.5,1702,sqft,"18406 106th St E, Bonney Lake, WA 98391",Bonney Lake, WA 98391
709,325000,USD,John L. Scott - Lake Tapps,New,3,1.0,1434,sqft,"10526 203rd Ave E, Sumner, WA 98391",Sumner, WA 98391
710,295000,USD,Lake &amp; Company Real Estate,New,3,1.0,1377,sqft,"3702 S Ainsworth Ave, Tacoma, WA 98418",Tacoma, WA 98418
711,219950,USD,John L. Scott - Kent North,New,2,1.5,1034,sqft,"5002 S 30th St Apt D2, Tacoma, WA 98409",Tacoma, WA 98409
712,679000,USD,JOHN L. SCOTT REAL ESTATE - PUYALLUP,New - 7 hours ago,3,2.0,2426,sqft,"10502 33rd St E, Edgewood, WA 98372",Edgewood, WA 98372
713,947950,USD,JOHN L. SCOTT REAL ESTATE - GIG HARBOR,New - 7 hours ago,3,3.5,3237,sqft,"6921 Ford Dr NW, Gig Harbor, WA 98335",Gig Harbor, WA 98335
714,349950,USD,Keller Williams Realty Puget Sound,New,3,2.0,1264,sqft,"1703 Voight St, Sumner, WA 98390",Sumner, WA 98390
715,400000,USD,Keller Williams Tacoma,New,3,1.0,1629,sqft,"3342 Greenwood Ave W, University Place, WA 98466",University Place, WA 98466
716,439900,USD,Coldwell Banker Bain of Bellevue,New,4,2.5,2865,sqft,"912 25th Ave SW, Puyallup, WA 98373",Puyallup, WA 98373
717,550000,USD,Best Choice Realty LLC,New - 7 hours ago,5,3.0,2417,sqft,"13143 178th Ave E, Bonney Lake, WA 98391",Bonney Lake, WA 98391
718,419950,USD,Lennar,New - 20 hours ago,4,2.5,2213,sqft,"13118 191st Ave E, Bonney Lake, WA 98391",Bonney Lake, WA 98391
719,404950,USD,Lennar,New - 20 hours ago,3,2.5,2016,sqft,"13122 191st Ave E, Bonney Lake, WA 98391",Bonney Lake, WA 98391
720,604950,USD,JK Monarch Fine Homes,Old,5,3.0,3363,sqft,"Church Lake Estates 19720 Church Lake Rd E, Bonney Lake, WA, Bonney Lake, WA 98391",Bonney Lake, WA 98391
721,574950,USD,JK Monarch Fine Homes,Old,4,2.5,2675,sqft,"Church Lake Estates 19720 Church Lake Rd E, Bonney Lake, WA, Bonney Lake, WA 98391",Bonney Lake, WA 98391
722,685995,USD,Toll Brothers,New - 20 hours ago,4,3.0,2775,sqft,"5421 133rd Street Ct SW, Gig Harbor, WA 98332",Gig Harbor, WA 98332
723,657995,USD,Toll Brothers,Old,4,3.0,2775,sqft,"Bayview at Gig Harbor 13312 54th Avenue NW, Gig Harbor, WA 98332",Gig Harbor, WA 98332
724,595685,USD,MainVue Homes,Old,4,2.5,2990,sqft,"MainVue Homes at Tehaleh 14422 Overlook Dr E, Bonney Lake, WA 98391",Bonney Lake, WA 98391
725,114000,USD,Coldwell Banker Bain of Puyallup,New,3,2.0,1510,sqft,"14807 122nd St E, Puyallup, WA 98374",Puyallup, WA 98374
726,319950,USD,Keller Williams Realty,New,3,1.5,1014,sqft,"12010 Waller Rd E, Tacoma, WA 98446",Tacoma, WA 98446
727,49995,USD,Keller Williams Realty,New,3,1.0,938,sqft,"7110 146th St SW Trlr 10, Lakewood, WA 98439",Lakewood, WA 98439
728,299000,USD,The Force Realty,New,2,1.0,1145,sqft,"4528 S D St, Tacoma, WA 98418",Tacoma, WA 98418
729,350000,USD,Morrison House Sotheby's International Realty,New,2,3.0,2026,sqft,"11210 110th St, Anderson Island, WA 98303",Anderson Island, WA 98303
730,320000,USD,John L. Scott - Lake Tapps,New,3,2.0,1553,sqft,"1108 117th St S, Tacoma, WA 98444",Tacoma, WA 98444
731,439500,USD,"Windermere Re Puyallup, Inc",New,3,2.0,1840,sqft,"1011 269th St E, Spanaway, WA 98387",Spanaway, WA 98387
732,459880,USD,Windermere Real Estate PSK Inc,New,4,3.0,2853,sqft,"306 Balmer St SW, Orting, WA 98360",Orting, WA 98360
733,499900,USD,Better Properties North Proctor,New,4,2.5,3220,sqft,"23730 80th Avenue Ct E, Graham, WA 98338",Graham, WA 98338
734,325000,USD,Windermere Real Estate Yelm,New,3,2.0,1032,sqft,"3011 Forest View Ct S, Puyallup, WA 98374",Puyallup, WA 98374
735,329950,USD,American Homes Realty,New,2,1.0,744,sqft,"4505 N 16th St, Tacoma, WA 98406",Tacoma, WA 98406
736,339000,USD,Keller Williams Realty Puget Sound,New,5,2.0,1717,sqft,"5202 S Park Ave, Tacoma, WA 98408",Tacoma, WA 98408
737,359500,USD,Keller Williams Tacoma,New,4,2.0,1976,sqft,"6449 S Ferdinand St, Tacoma, WA 98409",Tacoma, WA 98409
738,440000,USD,Keller Williams Realty,New,4,2.5,1971,sqft,"22207 58th Ave E, Spanaway, WA 98387",Spanaway, WA 98387
739,439950,USD,Keller Williams Realty,New,3,2.5,2364,sqft,"3017 Destination Ave E, Fife, WA 98424",Fife, WA 98424
740,399950,USD,Caliber Real Estate,New,3,1.0,1632,sqft,"1338 Berkeley Ave, Fircrest, WA 98466",Fircrest, WA 98466
741,295000,USD,BETTER PROPERTIES REAL ESTATE,New,2,1.0,918,sqft,"6430 S Wapato St, Tacoma, WA 98409",Tacoma, WA 98409
742,244950,USD,GATEWAY REAL ESTATE,New,2,2.0,1100,sqft,"8939 Gravelly Lake Dr SW Unit 2, Lakewood, WA 98499",Lakewood, WA 98499
